Measure,1,1.5,2,2.5,3,3.5
0,,,,,,
1,,,,tail ten d mod maj,,
2,,,,/tail; cad double doux 5-6,,
3,,,,,,
4,/cad; cad long 3to5 mod min,,,,,
5,,/cad,att 5-6 4/2 mod maj,,,
6,,,/att; 3fall mod min,,,
7,cad X,,/3fall,/cad; cant,,
8,,,,/cant; cad comp mod dom,,
9,,,,,,
10,,,,/cad,,
11,att mod sub,,,,,
12,/att,,,gasp mod ?,,
13,/gasp; mod maj,,,,/mod; mod super,
14,/mod; gasp mod dom,,,/gasp; cad double long mod maj,,
15,,,,,,
16,/cad; d3 X 5-6,,,,,
17,/d3; att X mod min,,,,,
18,,,/att,alt mod sub; cad simple,/cad,
19,/alt; cant mod sub b5,,/cant,cant mod sub b5,,
20,/cant; cad comp long 3to5 mod min,,,,,
21,,,,,/cad,
