Measure,1,1.5,2,2.5,3,3.5
0,,,,,,cad double ttc phr d 
1,,,,,,
2,,,,,/cad,ttc phr d att
3,,,,,,
4,/ttc; cad simple,,,/cad; cant a 2vc mod maj,,
5,,,,,,
6,/cant,,ptc d,,,
7,//ptc />cad double,,,,,
8,/cad; 3to5 att long mod min,,,,,
9,,,,/3to5,,
10,ptc ten d 4/2,,,,,
11,/ptc; cad mod sub #3,,,/cad; alt mod sub,,/alt; cad double long ev alt
12,,,,,,
13,/cad; cant mod sub,,,/cant; pdo,,
14,/pdo,,cad comp long mod med,,,
15,/cad; cad #3 chain; mod sub,,,/mod; mod sub,,
16,,,/cad; /mod,cad mod super,,
17,,,/cad,alt mod sub #3,,
18,/alt; cad double,,,,,
19,,,,,/cad,
