Measure,1,1.5,2,2.5,3,3.5
0,,,,,,roman leap gal
1,d3,,,/d3; tail cant a,,/tail; cad dec
2,,,/cad,,,
3,/roman; plag 5-6,,/plag; cad long double mod min 3to5,,,
4,,,,,,
5,/cad; ,,,tail d cant X mod subt,,
6,,/tail; cad simple,,,,
7,,,,/cad,,
8,mod super; cad doux mod sub,,,/cad; 3to5 cad long mod min,,
9,/mod; /3to5; plag mod maj,,,,,
10,/plag; ptc a cad long dec+ mod super,,,,,
11,/ptc; cad simple,,/cad; ttc cant a mod sub #3,,,
12,,,/ttc; alt mod sub,,,
13,/alt; cad simple long,,,,,
14,,,,,/cad,
